Attribute,Type,Player,Value
Per 90 Minutes Ast,Lowest,Aaron Cresswell,0.0
Per 90 Minutes Ast,Lowest,Aaron Hickey,0.0
Per 90 Minutes Ast,Lowest,Aaron Ramsdale,0.0
Per 90 Minutes G+A,Highest,Adama Traoré,1.19
Per 90 Minutes G+A,Highest,Cole Palmer,1.14
Per 90 Minutes G+A,Highest,Erling Haaland,1.13
Per 90 Minutes G+A,Lowest,Aaron Cresswell,0.0
Per 90 Minutes G+A,Lowest,Aaron Hickey,0.0
Per 90 Minutes G+A,Lowest,Aaron Ramsdale,0.0
Per 90 Minutes G-PK,Highest,Sasa Kalajdzic,1.08
Per 90 Minutes G-PK,Highest,Jhon Durán,0.95
Per 90 Minutes G-PK,Highest,Kieffer Moore,0.83
Per 90 Minutes G-PK,Lowest,Aaron Cresswell,0.0
Per 90 Minutes G-PK,Lowest,Aaron Hickey,0.0
Per 90 Minutes G-PK,Lowest,Aaron Ramsdale,0.0
Per 90 Minutes G+A-PK,Highest,Adama Traoré,1.19
Per 90 Minutes G+A-PK,Highest,Enes Ünal,1.1
Per 90 Minutes G+A-PK,Highest,Sasa Kalajdzic,1.08
Per 90 Minutes G+A-PK,Lowest,Aaron Cresswell,0.0
Per 90 Minutes G+A-PK,Lowest,Aaron Hickey,0.0
Per 90 Minutes G+A-PK,Lowest,Aaron Ramsdale,0.0
Per 90 Minutes xG,Highest,Kieffer Moore,1.23
Per 90 Minutes xG,Highest,Neal Maupay,1.16
Per 90 Minutes xG,Highest,Erling Haaland,1.03
Per 90 Minutes xG,Lowest,Aaron Cresswell,0.0
Per 90 Minutes xG,Lowest,Aaron Ramsdale,0.0
Per 90 Minutes xG,Lowest,Adam Smith,0.0
Per 90 Minutes xAG,Highest,Kevin De Bruyne,0.85
Per 90 Minutes xAG,Highest,Ivan Perišić,0.75
Per 90 Minutes xAG,Highest,Sasa Kalajdzic,0.52
Per 90 Minutes xAG,Lowest,Aaron Ramsdale,0.0
Per 90 Minutes xAG,Lowest,Alfie Gilchrist,0.0
Per 90 Minutes xAG,Lowest,Alisson,0.0
Per 90 Minutes xG+xAG,Highest,Kieffer Moore,1.44
Per 90 Minutes xG+xAG,Highest,Neal Maupay,1.22
Per 90 Minutes xG+xAG,Highest,Erling Haaland,1.18
Per 90 Minutes xG+xAG,Lowest,Aaron Ramsdale,0.0
Per 90 Minutes xG+xAG,Lowest,Alisson,0.0
Per 90 Minutes xG+xAG,Lowest,Alphonse Areola,0.0
Per 90 Minutes npxG,Highest,Kieffer Moore,1.23
Per 90 Minutes npxG,Highest,Neal Maupay,1.16
Per 90 Minutes npxG,Highest,Erling Haaland,0.81
Per 90 Minutes npxG,Lowest,Aaron Cresswell,0.0
Per 90 Minutes npxG,Lowest,Aaron Ramsdale,0.0
Per 90 Minutes npxG,Lowest,Adam Smith,0.0
Per 90 Minutes npxG+xAG,Highest,Kieffer Moore,1.44
Per 90 Minutes npxG+xAG,Highest,Neal Maupay,1.22
Per 90 Minutes npxG+xAG,Highest,Sasa Kalajdzic,1.09
Per 90 Minutes npxG+xAG,Lowest,Aaron Ramsdale,0.0
Per 90 Minutes npxG+xAG,Lowest,Alisson,0.0
Per 90 Minutes npxG+xAG,Lowest,Alphonse Areola,0.0
Keeper Performance GA,Highest,Thomas Kaminski,85.0
Keeper Performance GA,Highest,Wes Foderingham,79.0
Keeper Performance GA,Highest,Mark Flekken,63.0
Keeper Performance GA,Lowest,Aaron Cresswell,0.0
Keeper Performance GA,Lowest,Aaron Hickey,0.0
Keeper Performance GA,Lowest,Aaron Ramsey,0.0
Keeper Performance GA90,Highest,Ionuț Radu,3.5
Keeper Performance GA90,Highest,Ivo Grbić,2.92
Keeper Performance GA90,Highest,Robin Olsen,2.89
Keeper Performance GA90,Lowest,Aaron Cresswell,0.0
Keeper Performance GA90,Lowest,Aaron Hickey,0.0
Keeper Performance GA90,Lowest,Aaron Ramsey,0.0
Keeper Performance SoTA,Highest,Thomas Kaminski,221.0
Keeper Performance SoTA,Highest,Wes Foderingham,204.0
Keeper Performance SoTA,Highest,André Onana,203.0
Keeper Performance SoTA,Lowest,Aaron Cresswell,0.0
Keeper Performance SoTA,Lowest,Aaron Hickey,0.0
Keeper Performance SoTA,Lowest,Aaron Ramsey,0.0
Keeper Performance Saves,Highest,André Onana,146.0
Keeper Performance Saves,Highest,Thomas Kaminski,140.0
Keeper Performance Saves,Highest,Alphonse Areola,136.0
Keeper Performance Saves,Lowest,Aaron Cresswell,0.0
Keeper Performance Saves,Lowest,Aaron Hickey,0.0
Keeper Performance Saves,Lowest,Aaron Ramsey,0.0
Keeper Performance Save%,Highest,Arijanet Muric,80.8
Keeper Performance Save%,Highest,Mark Travers,77.8
Keeper Performance Save%,Highest,Thomas Strakosha,75.0
Keeper Performance Save%,Lowest,Aaron Cresswell,0.0
Keeper Performance Save%,Lowest,Aaron Hickey,0.0
Keeper Performance Save%,Lowest,Aaron Ramsey,0.0
Keeper Performance W,Highest,Ederson,24.0
Keeper Performance W,Highest,David Raya,23.0
Keeper Performance W,Highest,Guglielmo Vicario,20.0
Keeper Performance W,Lowest,Aaron Cresswell,0.0
Keeper Performance W,Lowest,Aaron Hickey,0.0
Keeper Performance W,Lowest,Aaron Ramsey,0.0
Keeper Performance D,Highest,Alphonse Areola,9.0
Keeper Performance D,Highest,Jordan Pickford,9.0
Keeper Performance D,Highest,Mark Flekken,9.0
Keeper Performance D,Lowest,Aaron Cresswell,0.0
Keeper Performance D,Lowest,Aaron Hickey,0.0
Keeper Performance D,Lowest,Aaron Ramsey,0.0
Keeper Performance L,Highest,Thomas Kaminski,24.0
Keeper Performance L,Highest,Wes Foderingham,22.0
Keeper Performance L,Highest,James Trafford,20.0
Keeper Performance L,Lowest,Aaron Cresswell,0.0
Keeper Performance L,Lowest,Aaron Hickey,0.0
Keeper Performance L,Lowest,Aaron Ramsdale,0.0
Keeper Performance CS,Highest,David Raya,16.0
Keeper Performance CS,Highest,Jordan Pickford,13.0
Keeper Performance CS,Highest,Bernd Leno,10.0
Keeper Performance CS,Lowest,Aaron Cresswell,0.0
Keeper Performance CS,Lowest,Aaron Hickey,0.0
Keeper Performance CS,Lowest,Aaron Ramsey,0.0
Keeper Performance CS%,Highest,Stefan Ortega,60.0
Keeper Performance CS%,Highest,David Raya,50.0
Keeper Performance CS%,Highest,Mark Travers,50.0
Keeper Performance CS%,Lowest,Aaron Cresswell,0.0
Keeper Performance CS%,Lowest,Aaron Hickey,0.0
Keeper Performance CS%,Lowest,Aaron Ramsey,0.0
Keeper Penalty Kicks PKatt,Highest,Bernd Leno,8.0
Keeper Penalty Kicks PKatt,Highest,Jordan Pickford,8.0
Keeper Penalty Kicks PKatt,Highest,José Sá,8.0
Keeper Penalty Kicks PKatt,Lowest,Aaron Cresswell,0.0
Keeper Penalty Kicks PKatt,Lowest,Aaron Hickey,0.0
Keeper Penalty Kicks PKatt,Lowest,Aaron Ramsdale,0.0
Keeper Penalty Kicks PKA,Highest,Bernd Leno,8.0
Keeper Penalty Kicks PKA,Highest,Jordan Pickford,8.0
Keeper Penalty Kicks PKA,Highest,José Sá,8.0
Keeper Penalty Kicks PKA,Lowest,Aaron Cresswell,0.0
Keeper Penalty Kicks PKA,Lowest,Aaron Hickey,0.0
Keeper Penalty Kicks PKA,Lowest,Aaron Ramsdale,0.0
Keeper Penalty Kicks PKsv,Highest,Alphonse Areola,2.0
Keeper Penalty Kicks PKsv,Highest,Arijanet Muric,1.0
Keeper Penalty Kicks PKsv,Highest,David Raya,1.0
Keeper Penalty Kicks PKsv,Lowest,Aaron Cresswell,0.0
Keeper Penalty Kicks PKsv,Lowest,Aaron Hickey,0.0
Keeper Penalty Kicks PKsv,Lowest,Aaron Ramsdale,0.0
Keeper Penalty Kicks PKm,Highest,Ivo Grbić,1.0
Keeper Penalty Kicks PKm,Highest,Wes Foderingham,1.0
Keeper Penalty Kicks PKm,Highest,Đorđe Petrović,1.0
Keeper Penalty Kicks PKm,Lowest,Aaron Cresswell,0.0
Keeper Penalty Kicks PKm,Lowest,Aaron Hickey,0.0
Keeper Penalty Kicks PKm,Lowest,Aaron Ramsdale,0.0
Keeper Penalty Kicks Save%,Highest,Robin Olsen,100.0
Keeper Penalty Kicks Save%,Highest,Arijanet Muric,50.0
Keeper Penalty Kicks Save%,Highest,David Raya,33.3
Keeper Penalty Kicks Save%,Lowest,Aaron Cresswell,0.0
Keeper Penalty Kicks Save%,Lowest,Aaron Hickey,0.0
Keeper Penalty Kicks Save%,Lowest,Aaron Ramsdale,0.0
Shooting Standard Gls,Highest,Erling Haaland,27.0
Shooting Standard Gls,Highest,Cole Palmer,22.0
Shooting Standard Gls,Highest,Alexander Isak,21.0
Shooting Standard Gls,Lowest,Aaron Cresswell,0.0
Shooting Standard Gls,Lowest,Aaron Hickey,0.0
Shooting Standard Gls,Lowest,Aaron Ramsdale,0.0
Shooting Standard Sh,Highest,Erling Haaland,113.0
Shooting Standard Sh,Highest,Darwin Núñez,107.0
Shooting Standard Sh,Highest,Mohamed Salah,107.0
Shooting Standard Sh,Lowest,Aaron Cresswell,0.0
Shooting Standard Sh,Lowest,Aaron Ramsdale,0.0
Shooting Standard Sh,Lowest,Alisson,0.0
Shooting Standard SoT,Highest,Erling Haaland,50.0
Shooting Standard SoT,Highest,Phil Foden,48.0
Shooting Standard SoT,Highest,Mohamed Salah,47.0
Shooting Standard SoT,Lowest,Aaron Cresswell,0.0
Shooting Standard SoT,Lowest,Aaron Ramsdale,0.0
Shooting Standard SoT,Lowest,Adam Smith,0.0
Shooting Standard SoT%,Highest,Amari'i Bell,100.0
Shooting Standard SoT%,Highest,Bénie Traoré,100.0
Shooting Standard SoT%,Highest,Chris Mepham,100.0
Shooting Standard SoT%,Lowest,Aaron Cresswell,0.0
Shooting Standard SoT%,Lowest,Aaron Ramsdale,0.0
Shooting Standard SoT%,Lowest,Adam Smith,0.0
Shooting Standard Sh/90,Highest,Enes Ünal,6.31
Shooting Standard Sh/90,Highest,Julio Enciso,5.31
Shooting Standard Sh/90,Highest,Kieffer Moore,5.0
Shooting Standard Sh/90,Lowest,Aaron Cresswell,0.0
Shooting Standard Sh/90,Lowest,Aaron Ramsdale,0.0
Shooting Standard Sh/90,Lowest,Alisson,0.0
Shooting Standard SoT/90,Highest,Neal Maupay,3.24
Shooting Standard SoT/90,Highest,Matt Ritchie,2.81
Shooting Standard SoT/90,Highest,Enes Ünal,2.2
Shooting Standard SoT/90,Lowest,Aaron Cresswell,0.0
Shooting Standard SoT/90,Lowest,Aaron Ramsdale,0.0
Shooting Standard SoT/90,Lowest,Adam Smith,0.0
Shooting Standard G/Sh,Highest,Hannibal Mejbri,1.0
Shooting Standard G/Sh,Highest,Tim Ream,1.0
Shooting Standard G/Sh,Highest,Leander Dendoncker,0.5
Shooting Standard G/Sh,Lowest,Aaron Cresswell,0.0
Shooting Standard G/Sh,Lowest,Aaron Hickey,0.0
Shooting Standard G/Sh,Lowest,Aaron Ramsdale,0.0
Shooting Standard G/SoT,Highest,Alfie Gilchrist,1.0
Shooting Standard G/SoT,Highest,Ben Mee,1.0
Shooting Standard G/SoT,Highest,Calvin Bassey,1.0
Shooting Standard G/SoT,Lowest,Aaron Cresswell,0.0
Shooting Standard G/SoT,Lowest,Aaron Hickey,0.0
Shooting Standard G/SoT,Lowest,Aaron Ramsdale,0.0
Shooting Standard Dist,Highest,Oliver Norwood,32.9
Shooting Standard Dist,Highest,Kyle Walker,29.4
Shooting Standard Dist,Highest,Moisés Caicedo,29.0
Shooting Standard Dist,Lowest,Aaron Cresswell,0.0
Shooting Standard Dist,Lowest,Aaron Ramsdale,0.0
Shooting Standard Dist,Lowest,Alisson,0.0
Shooting Standard FK,Highest,James Ward-Prowse,16.0
Shooting Standard FK,Highest,Julián Álvarez,13.0
Shooting Standard FK,Highest,Eberechi Eze,12.0
Shooting Standard FK,Lowest,Aaron Cresswell,0.0
Shooting Standard FK,Lowest,Aaron Hickey,0.0
Shooting Standard FK,Lowest,Aaron Ramsdale,0.0
Shooting Standard PK,Highest,Cole Palmer,9.0
Shooting Standard PK,Highest,Erling Haaland,7.0
Shooting Standard PK,Highest,Bukayo Saka,6.0
Shooting Standard PK,Lowest,Aaron Cresswell,0.0
Shooting Standard PK,Lowest,Aaron Hickey,0.0
Shooting Standard PK,Lowest,Aaron Ramsdale,0.0
Shooting Standard PKatt,Highest,Cole Palmer,9.0
Shooting Standard PKatt,Highest,Erling Haaland,8.0
Shooting Standard PKatt,Highest,Mohamed Salah,7.0
Shooting Standard PKatt,Lowest,Aaron Cresswell,0.0
Shooting Standard PKatt,Lowest,Aaron Hickey,0.0
Shooting Standard PKatt,Lowest,Aaron Ramsdale,0.0
Shooting Expected xG,Highest,Erling Haaland,29.2
Shooting Expected xG,Highest,Mohamed Salah,21.2
Shooting Expected xG,Highest,Alexander Isak,20.3
Shooting Expected xG,Lowest,Aaron Cresswell,0.0
Shooting Expected xG,Lowest,Aaron Ramsdale,0.0
Shooting Expected xG,Lowest,Alisson,0.0
Shooting Expected npxG,Highest,Erling Haaland,22.9
Shooting Expected npxG,Highest,Nicolas Jackson,18.6
Shooting Expected npxG,Highest,Dominic Solanke,17.2
Shooting Expected npxG,Lowest,Aaron Cresswell,0.0
Shooting Expected npxG,Lowest,Aaron Ramsdale,0.0
Shooting Expected npxG,Lowest,Alisson,0.0
Shooting Expected npxG/Sh,Highest,Tim Ream,0.96
Shooting Expected npxG/Sh,Highest,Shandon Baptiste,0.45
Shooting Expected npxG/Sh,Highest,Leander Dendoncker,0.37
Shooting Expected npxG/Sh,Lowest,Aaron Cresswell,0.0
Shooting Expected npxG/Sh,Lowest,Aaron Ramsdale,0.0
Shooting Expected npxG/Sh,Lowest,Alisson,0.0
Shooting Expected G-xG,Highest,Phil Foden,8.7
Shooting Expected G-xG,Highest,Callum Hudson-Odoi,5.3
Shooting Expected G-xG,Highest,Jean-Philippe Mateta,5.1
Shooting Expected G-xG,Lowest,Dominic Calvert-Lewin,-5.9
Shooting Expected G-xG,Lowest,Brennan Johnson,-5.3
Shooting Expected G-xG,Lowest,Darwin Núñez,-5.3
Shooting Expected np:G-xG,Highest,Phil Foden,8.7
Shooting Expected np:G-xG,Highest,Callum Hudson-Odoi,5.3
Shooting Expected np:G-xG,Highest,Diogo Jota,4.7
Shooting Expected np:G-xG,Lowest,Dominic Calvert-Lewin,-6.4
Shooting Expected np:G-xG,Lowest,Brennan Johnson,-5.3
Shooting Expected np:G-xG,Lowest,Nicolas Jackson,-4.6
Passing Total Cmp,Highest,Rodri,3365.0
Passing Total Cmp,Highest,Lewis Dunk,2977.0
Passing Total Cmp,Highest,Pascal Groß,2774.0
Passing Total Cmp,Lowest,Leon Chiwome,19.0
Passing Total Cmp,Lowest,Neal Maupay,22.0
Passing Total Cmp,Lowest,Alex Iwobi,27.0
Passing Total Att,Highest,Rodri,3656.0
Passing Total Att,Highest,Lewis Dunk,3233.0
Passing Total Att,Highest,Pascal Groß,3223.0
Passing Total Att,Lowest,Leon Chiwome,22.0
Passing Total Att,Lowest,Neal Maupay,26.0
Passing Total Att,Lowest,Hannibal Mejbri,38.0
Passing Total Cmp%,Highest,Thiago Silva,94.7
Passing Total Cmp%,Highest,David Ozoh,94.1
Passing Total Cmp%,Highest,Mateo Kovačić,94.0
Passing Total Cmp%,Lowest,Ivo Grbić,49.7
Passing Total Cmp%,Lowest,William Osula,52.7
Passing Total Cmp%,Lowest,Ivan Toney,53.5
Passing Total TotDist,Highest,Rodri,57256.0
Passing Total TotDist,Highest,Lewis Dunk,50791.0
Passing Total TotDist,Highest,Virgil van Dijk,49290.0
Passing Total TotDist,Lowest,Leon Chiwome,244.0
Passing Total TotDist,Lowest,Kieffer Moore,272.0
Passing Total TotDist,Lowest,Neal Maupay,353.0
Passing Total PrgDist,Highest,Jordan Pickford,26388.0
Passing Total PrgDist,Highest,Mark Flekken,22385.0
Passing Total PrgDist,Highest,Thomas Kaminski,22188.0
Passing Total PrgDist,Lowest,Neal Maupay,14.0
Passing Total PrgDist,Lowest,Nathan Fraser,45.0
Passing Total PrgDist,Lowest,Leon Chiwome,59.0
Passing Short Cmp,Highest,Rodri,1676.0
Passing Short Cmp,Highest,Pascal Groß,1583.0
Passing Short Cmp,Highest,Lewis Dunk,1343.0
Passing Short Cmp,Lowest,Thomas Strakosha,6.0
Passing Short Cmp,Lowest,Mark Travers,10.0
Passing Short Cmp,Lowest,Leon Chiwome,12.0
Passing Short Att,Highest,Rodri,1774.0
Passing Short Att,Highest,Pascal Groß,1674.0
Passing Short Att,Highest,Lewis Dunk,1382.0
Passing Short Att,Lowest,Thomas Strakosha,6.0
Passing Short Att,Lowest,Mark Travers,10.0
Passing Short Att,Lowest,Leon Chiwome,13.0
Passing Short Cmp%,Highest,Aaron Ramsdale,100.0
Passing Short Cmp%,Highest,Benson Manuel,100.0
Passing Short Cmp%,Highest,Caoimhín Kelleher,100.0
Passing Short Cmp%,Lowest,William Osula,58.9
Passing Short Cmp%,Lowest,Youssef Chermiti,59.4
Passing Short Cmp%,Lowest,Ivan Toney,61.6
Passing Medium Cmp,Highest,Virgil van Dijk,1343.0
Passing Medium Cmp,Highest,Lewis Dunk,1340.0
Passing Medium Cmp,Highest,William Saliba,1298.0
Passing Medium Cmp,Lowest,Kieffer Moore,4.0
Passing Medium Cmp,Lowest,Leon Chiwome,6.0
Passing Medium Cmp,Lowest,Maxwel Cornet,6.0
Passing Medium Att,Highest,Lewis Dunk,1417.0
Passing Medium Att,Highest,Virgil van Dijk,1412.0
Passing Medium Att,Highest,William Saliba,1373.0
Passing Medium Att,Lowest,Leon Chiwome,6.0
Passing Medium Att,Lowest,Kieffer Moore,8.0
Passing Medium Att,Lowest,Maxwel Cornet,8.0
Passing Medium Cmp%,Highest,Daniel Bentley,100.0
Passing Medium Cmp%,Highest,David Ozoh,100.0
Passing Medium Cmp%,Highest,Leon Chiwome,100.0
Passing Medium Cmp%,Lowest,William Osula,40.0
Passing Medium Cmp%,Lowest,Rhian Brewster,45.5
Passing Medium Cmp%,Lowest,Dominic Calvert-Lewin,49.5
Passing Long Cmp,Highest,Jordan Pickford,461.0
Passing Long Cmp,Highest,Mark Flekken,394.0
Passing Long Cmp,Highest,Thomas Kaminski,362.0
Passing Long Cmp,Lowest,David Ozoh,0.0
Passing Long Cmp,Lowest,Facundo Pellistri,0.0
Passing Long Cmp,Lowest,Kieffer Moore,0.0
Passing Long Att,Highest,Jordan Pickford,1031.0
Passing Long Att,Highest,Thomas Kaminski,937.0
Passing Long Att,Highest,Mark Flekken,832.0
Passing Long Att,Lowest,David Ozoh,0.0
Passing Long Att,Lowest,Facundo Pellistri,0.0
Passing Long Att,Lowest,Kieffer Moore,0.0
Passing Long Cmp%,Highest,Brennan Johnson,100.0
Passing Long Cmp%,Highest,Bénie Traoré,100.0
Passing Long Cmp%,Highest,Carlos Vinícius,100.0
Passing Long Cmp%,Lowest,David Ozoh,0.0
Passing Long Cmp%,Lowest,Facundo Pellistri,0.0
Passing Long Cmp%,Lowest,Kieffer Moore,0.0
Ast,Highest,Ollie Watkins,13.0
Ast,Highest,Cole Palmer,11.0
Ast,Highest,Anthony Gordon,10.0
Ast,Lowest,Aaron Cresswell,0.0
Ast,Lowest,Aaron Hickey,0.0
Ast,Lowest,Aaron Ramsdale,0.0
xAG,Highest,Bruno Fernandes,11.8
xAG,Highest,Mohamed Salah,11.8
xAG,Highest,Son Heung-min,11.8
xAG,Lowest,Aaron Ramsdale,0.0
xAG,Lowest,Alfie Gilchrist,0.0
xAG,Lowest,Alisson,0.0
Passing Expected xA,Highest,Martin Ødegaard,11.2
Passing Expected xA,Highest,Bukayo Saka,11.0
Passing Expected xA,Highest,Bruno Fernandes,10.2
Passing Expected xA,Lowest,Aaron Ramsdale,0.0
Passing Expected xA,Lowest,Alfie Gilchrist,0.0
Passing Expected xA,Lowest,Alisson,0.0
Passing Expected A-xAG,Highest,Ollie Watkins,5.7
Passing Expected A-xAG,Highest,Rodri,5.1
Passing Expected A-xAG,Highest,Pedro Neto,4.6
Passing Expected A-xAG,Lowest,Dejan Kulusevski,-4.7
Passing Expected A-xAG,Lowest,Bruno Fernandes,-3.8
Passing Expected A-xAG,Lowest,Dominik Szoboszlai,-3.8
KP,Highest,Bruno Fernandes,114.0
KP,Highest,Pascal Groß,103.0
KP,Highest,Martin Ødegaard,102.0
KP,Lowest,Aaron Ramsdale,0.0
KP,Lowest,Alfie Gilchrist,0.0
KP,Lowest,Alphonse Areola,0.0
1/3,Highest,Rodri,378.0
1/3,Highest,Pascal Groß,242.0
1/3,Highest,Declan Rice,240.0
1/3,Lowest,Ionuț Radu,0.0
1/3,Lowest,Lewis Dobbin,0.0
1/3,Lowest,Maxwel Cornet,0.0
PPA,Highest,Martin Ødegaard,130.0
PPA,Highest,Bruno Fernandes,89.0
PPA,Highest,Bukayo Saka,73.0
PPA,Lowest,Aaron Ramsdale,0.0
PPA,Lowest,Alisson,0.0
PPA,Lowest,Alphonse Areola,0.0
CrsPA,Highest,Pascal Groß,27.0
CrsPA,Highest,Antonee Robinson,26.0
CrsPA,Highest,Alfie Doughty,24.0
CrsPA,Lowest,Aaron Cresswell,0.0
CrsPA,Lowest,Aaron Hickey,0.0
CrsPA,Lowest,Aaron Ramsdale,0.0
PrgP,Highest,Rodri,376.0
PrgP,Highest,Martin Ødegaard,344.0
PrgP,Highest,Pascal Groß,302.0
PrgP,Lowest,Bernd Leno,0.0
